Date_reported,Country_code,Country,WHO_region,Covid_new_hospitalizations_last_7days,Covid_new_icu_admissions_last_7days,Covid_new_hospitalizations_last_28days,Covid_new_icu_admissions_last_28days
2020-04-05,CUB,CUBA,AMR,,,,
2020-03-15,FLK,FALKLAND ISLANDS (MALVINAS),AMR,,,,
2023-10-29,KOR,REPUBLIC OF KOREA,WPR,,,,
2022-03-27,GIB,GIBRALTAR,EUR,,,,
2021-08-29,COG,CONGO,AFR,,,,
2022-06-05,MSR,MONTSERRAT,AMR,,,,
2024-03-24,BHS,BAHAMAS,AMR,2.0,0.0,17.0,3.0
2021-06-13,AUT,AUSTRIA,EUR,57.0,18.0,321.0,97.0
2021-05-16,XXH,International conveyance (Vanuatu),OTHER,,,,
2022-01-02,ETH,ETHIOPIA,AFR,,,,
2023-08-27,ATG,ANTIGUA AND BARBUDA,AMR,,,,
2021-08-01,IRN,IRAN (ISLAMIC REPUBLIC OF),EMR,19867.0,,66330.0,
2023-07-16,SYR,SYRIAN ARAB REPUBLIC,EMR,,,,
2021-11-07,ECU,ECUADOR,AMR,87.0,,409.0,
2020-02-16,BWA,BOTSWANA,AFR,,,,
2024-09-01,VNM,VIET NAM,WPR,,,,
2022-07-17,TCA,TURKS AND CAICOS ISLANDS,AMR,5.0,,9.0,
2022-07-17,ROU,ROMANIA,EUR,,,,
2025-04-06,LBN,LEBANON,EMR,,,,
2024-03-31,ARE,UNITED ARAB EMIRATES,EMR,,,,
2020-07-26,LKA,SRI LANKA,SEAR,67.0,,750.0,
2023-06-18,GNQ,EQUATORIAL GUINEA,AFR,,,,
2020-05-10,HRV,CROATIA,EUR,,,,
2021-09-05,XXF,International conveyance (American Samoa),OTHER,,,,
2023-04-09,XKX,Kosovo (in accordance with UN Security Council Resolution 1244 (1999)),EUR,,,,
2021-06-20,LCA,SAINT LUCIA,AMR,,,,
2024-06-02,ZMB,ZAMBIA,AFR,,,,
2025-04-06,GIB,GIBRALTAR,EUR,,,,
2025-04-13,MMR,MYANMAR,SEAR,,,,
2024-11-03,SSD,SOUTH SUDAN,AFR,,,,
2022-10-09,GBR,THE UNITED KINGDOM,EUR,,,,
2021-11-21,BRA,BRAZIL,AMR,3312.0,1394.0,14679.0,6078.0
2024-03-31,VGB,BRITISH VIRGIN ISLANDS,AMR,0.0,0.0,0.0,0.0
2022-10-23,CRI,COSTA RICA,AMR,,,,
2025-01-05,BFA,BURKINA FASO,AFR,,,,
2023-10-08,CUB,CUBA,AMR,,,,
2021-03-07,XXL,International commercial vessel,OTHER,,,,
2024-06-16,MAF,SAINT MARTIN,AMR,,,,
2023-03-19,SDN,SUDAN,EMR,,,,
2023-04-23,ASM,AMERICAN SAMOA,WPR,,,,
2021-10-24,PRY,PARAGUAY,AMR,,,,
2021-07-18,THA,THAILAND,SEAR,,,,
2023-05-21,SWE,SWEDEN,EUR,,13.0,,55.0
2024-03-17,GNB,GUINEA-BISSAU,AFR,,,,
2023-06-11,NCL,NEW CALEDONIA,WPR,,,,
2021-06-13,CHN,CHINA,WPR,186.0,,588.0,
2024-07-07,VCT,SAINT VINCENT AND THE GRENADINES,AMR,,,,
2024-04-07,NLD,NETHERLANDS,EUR,63.0,1.0,320.0,4.0
2025-02-02,ISL,ICELAND,EUR,,,,
2023-02-12,SLV,EL SALVADOR,AMR,,,,
2022-05-01,TON,TONGA,WPR,,,,
2022-11-27,DZA,ALGERIA,AFR,,,,
2020-07-26,LCA,SAINT LUCIA,AMR,,,4.0,
2022-12-04,URY,URUGUAY,AMR,,,,
2023-07-23,ETH,ETHIOPIA,AFR,,,,
2024-02-11,MAF,SAINT MARTIN,AMR,,,,
2020-11-29,KGZ,KYRGYZSTAN,EUR,,,,
2022-12-11,DZA,ALGERIA,AFR,,,,
2025-04-13,ALB,ALBANIA,EUR,,,,
2024-04-14,STP,SAO TOME AND PRINCIPE,AFR,,,,
2023-04-16,BRA,BRAZIL,AMR,1258.0,409.0,4976.0,1555.0
2023-07-30,AND,ANDORRA,EUR,,,,
2024-07-07,PRI,PUERTO RICO,AMR,,,,
2022-10-16,SSD,SOUTH SUDAN,AFR,,,,
2023-12-03,SSD,SOUTH SUDAN,AFR,,,,
2020-11-08,PSE,"OCCUPIED PALESTINIAN TERRITORY, INCLUDING EAST JERUSALEM",EMR,,,,
2023-04-02,CAF,CENTRAL AFRICAN REPUBLIC,AFR,,,,
2020-12-20,STP,SAO TOME AND PRINCIPE,AFR,,,,
2024-03-03,MNG,MONGOLIA,WPR,7.0,0.0,38.0,0.0
2022-09-18,GEO,GEORGIA,EUR,,,,
2022-04-24,GRC,GREECE,EUR,1318.0,51.0,8606.0,396.0
2021-07-18,USA,UNITED STATES OF AMERICA,AMR,24037.0,,69830.0,
2020-02-16,CYP,CYPRUS,EUR,,,1.0,
2025-03-09,BGD,BANGLADESH,SEAR,,,,
2024-05-26,CRI,COSTA RICA,AMR,16.0,1.0,71.0,4.0
2023-07-30,ATG,ANTIGUA AND BARBUDA,AMR,,,,
2024-04-14,BLR,BELARUS,EUR,,,,
2023-09-17,NIC,NICARAGUA,AMR,,,,
2021-08-01,JPN,JAPAN,WPR,,,,
2024-03-31,LBR,LIBERIA,AFR,,,,
2024-02-11,CAN,CANADA,AMR,251.0,32.0,1169.0,116.0
2022-12-11,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,WPR,,,,
2020-09-27,HRV,CROATIA,EUR,,,,
2022-08-21,HND,HONDURAS,AMR,18.0,,55.0,2.0
2024-12-08,BHR,BAHRAIN,EMR,,,,
2023-04-09,AFG,AFGHANISTAN,EMR,5.0,,13.0,
2024-10-20,SOM,SOMALIA,EMR,,,,
2022-01-09,PRT,PORTUGAL,EUR,1577.0,151.0,4185.0,454.0
2024-07-21,FJI,FIJI,WPR,,,,
2023-09-10,NAM,NAMIBIA,AFR,0.0,0.0,0.0,0.0
2023-08-13,TCA,TURKS AND CAICOS ISLANDS,AMR,0.0,,0.0,
2020-05-31,GAB,GABON,AFR,,,,
2023-01-08,VGB,BRITISH VIRGIN ISLANDS,AMR,0.0,0.0,0.0,0.0
2020-03-29,NPL,NEPAL,SEAR,3.0,0.0,4.0,0.0
2021-02-28,MDG,MADAGASCAR,AFR,,,,
2023-12-03,CUW,CURAÇAO,AMR,,,,
2025-02-02,MMR,MYANMAR,SEAR,,,,
